timestamp, decisao, erro
1770323625.9878597,Curva a Esquerda,-10.0
1770323626.034928,Curva a Esquerda,-11.0
1770323626.0820425,Curva a Esquerda,-12.0
1770323626.1455424,Curva a Esquerda,-12.5
1770323626.1984146,Curva a Esquerda,-12.5
1770323626.2470174,Curva a Esquerda,-13.5
1770323626.288105,Curva a Esquerda,-13.5
1770323626.3350668,Curva a Esquerda,-14.0
1770323626.3846474,Curva a Esquerda,-15.0
1770323626.4299865,Curva a Esquerda,-15.0
1770323626.5063117,Curva a Esquerda,-15.0
1770323626.568279,Curva a Esquerda,-15.0
1770323626.6243918,Curva a Esquerda,-16.0
1770323626.669205,Curva a Esquerda,-16.0
1770323626.7386124,Curva a Esquerda,-16.5
1770323626.7872503,Curva a Esquerda,-16.5
1770323626.8273907,Curva a Esquerda,-17.0
1770323626.892595,Curva a Esquerda,-18.0
1770323626.943842,Curva a Esquerda,-18.0
1770323626.9853194,Curva a Esquerda,-18.0
1770323627.0348244,Curva a Esquerda,-19.0
1770323627.0807648,Curva a Esquerda,-19.0
1770323627.1288116,Curva a Esquerda,-19.5
1770323627.1763568,Curva a Esquerda,-20.0
1770323627.2351434,Curva a Esquerda,-20.0
1770323627.3047616,Curva a Esquerda,-21.0
1770323627.3663027,Curva a Esquerda,-21.0
1770323627.430186,Curva a Esquerda,-21.0
1770323627.4798832,Curva a Esquerda,-21.0
1770323627.5544803,Curva a Esquerda,-21.0
1770323627.619214,Curva a Esquerda,-20.5
1770323627.6804636,Curva a Esquerda,-20.5
1770323627.744196,Curva a Esquerda,-20.0
1770323627.8291118,Curva a Esquerda,-19.5
1770323627.89039,Curva a Esquerda,-19.0
1770323627.956617,Curva a Esquerda,-18.0
1770323628.016511,Curva a Esquerda,-17.5
1770323628.0999818,Curva a Esquerda,-16.5
1770323628.166075,Curva a Esquerda,-16.0
1770323628.2145743,Curva a Esquerda,-15.0
1770323628.2702897,Curva a Esquerda,-14.5
1770323628.3236132,Curva a Esquerda,-13.5
1770323628.3710866,Curva a Esquerda,-12.5
1770323628.4191039,Curva a Esquerda,-11.5
1770323628.4656525,Curva a Esquerda,-11.0
1770323628.513734,Curva a Esquerda,-11.0
1770323628.5768397,Curva a Esquerda,-10.0
1770323628.6304681,Curva a Esquerda,-9.0
1770323628.6807399,Curva a Esquerda,-7.5
1770323628.7347403,Curva a Esquerda,-6.5
1770323628.7835305,Curva a Esquerda,-6.0
1770323628.849653,Curva a Esquerda,-5.5
1770323628.9055262,Curva a Esquerda,-4.0
1770323628.9584837,Curva a Esquerda,-4.0
1770323629.0048254,Curva a Esquerda,-4.0
1770323629.0543709,Curva a Esquerda,-3.0
1770323629.1133265,Curva a Esquerda,-2.5
1770323629.1638482,Curva a Esquerda,-2.0
1770323629.235664,Curva a Esquerda,-2.5
1770323629.2955709,Curva a Esquerda,-3.0
1770323629.3596659,Curva a Esquerda,-4.0
1770323629.4041495,Curva a Esquerda,-4.5
1770323629.4504204,Curva a Esquerda,-5.0
1770323629.4978557,Curva a Esquerda,-5.0
1770323629.5448792,Curva a Esquerda,-5.5
1770323629.5935419,Curva a Esquerda,-5.0
1770323629.6554153,Curva a Esquerda,-5.5
1770323629.7102256,Curva a Esquerda,-5.5
1770323629.766821,Curva a Esquerda,-5.0
1770323629.814156,Curva a Esquerda,-4.0
1770323629.8633647,Curva a Esquerda,-4.0
1770323629.9082153,Curva a Esquerda,-3.0
1770323629.9794612,Curva a Esquerda,-2.0
1770323630.0409503,Curva a Esquerda,-1.0
1770323630.0864289,Em frente,0.0
1770323630.1305518,Em frente,0.5
1770323630.176322,Em frente,1.0
1770323630.2373195,Em frente,0.5
1770323630.28791,Em frente,0.0
1770323630.3347125,Em frente,1.5
1770323630.3965528,Em frente,1.5
1770323630.4454024,Em frente,2.0
1770323630.4945743,Em frente,1.5
1770323630.5408075,Em frente,2.0
1770323630.6200025,Em frente,1.0
1770323630.668048,Em frente,2.0
1770323630.715225,Em frente,1.0
1770323630.7624915,Em frente,0.5
1770323630.831025,Em frente,0.5
1770323630.873526,Curva a Esquerda,-1.0
1770323630.921319,Curva a Esquerda,-1.0
1770323630.9680169,Curva a Esquerda,-2.0
1770323631.0157776,Curva a Esquerda,-2.0
1770323631.064579,Curva a Esquerda,-2.5
1770323631.1098106,Curva a Esquerda,-2.5
1770323631.188461,Curva a Esquerda,-2.5
1770323631.2469022,Curva a Esquerda,-2.0
1770323631.3197486,Curva a Esquerda,-1.5
1770323631.3875475,Em frente,0.0
1770323631.42832,Em frente,0.5
1770323631.477053,Curva a Esquerda,-0.5
1770323631.5265226,Curva a Esquerda,-0.5
1770323631.571779,Curva a Esquerda,-1.0
1770323631.63458,Curva a Esquerda,-1.5
1770323631.6891525,Curva a Esquerda,-2.5
1770323631.7312624,Curva a Esquerda,-3.0
1770323632.0119238,Curva a Esquerda,-4.0
1770323632.063666,Curva a Esquerda,-5.0
1770323632.1241856,Curva a Esquerda,-5.5
1770323632.1637821,Curva a Esquerda,-6.5
1770323632.2144594,Curva a Esquerda,-7.0
1770323632.2594657,Curva a Esquerda,-7.5
1770323632.3082867,Curva a Esquerda,-8.5
1770323632.3707733,Curva a Esquerda,-9.0
1770323632.4244814,Curva a Esquerda,-9.5
1770323632.473554,Curva a Esquerda,-10.0
1770323632.5148609,Curva a Esquerda,-10.5
1770323632.5867183,Curva a Esquerda,-10.5
1770323632.6684575,Curva a Esquerda,-11.5
1770323632.721145,Curva a Esquerda,-12.0
1770323632.770303,Curva a Esquerda,-12.5
1770323632.816759,Curva a Esquerda,-12.5
1770323632.881578,Curva a Esquerda,-13.5
1770323632.928342,Curva a Esquerda,-14.0
1770323632.9908094,Curva a Esquerda,-14.0
1770323633.0398662,Curva a Esquerda,-14.0
1770323633.087997,Curva a Esquerda,-14.5
1770323633.135182,Curva a Esquerda,-15.0
1770323633.2068799,Curva a Esquerda,-15.0
1770323633.2684553,Curva a Esquerda,-15.0
1770323633.3595364,Curva a Esquerda,-15.0
1770323633.4105523,Curva a Esquerda,-16.0
1770323633.4684875,Curva a Esquerda,-16.0
1770323633.540578,Curva a Esquerda,-16.5
1770323633.6009822,Curva a Esquerda,-16.5
1770323633.6752992,Curva a Esquerda,-17.0
1770323633.7231824,Curva a Esquerda,-17.5
1770323633.7749267,Curva a Esquerda,-18.0
1770323633.8304698,Curva a Esquerda,-18.0
